"telepules","tipus","kisterseg","megye","regio","id","iskola_neve","Iskola_tipus","utca"
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39011936,"Magyarországi Metodista Egyház","egyházi jogi személy","Kiscelli utca 73."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",11211040,"Magyarországi Református Egyház","egyházi jogi személy","Abonyi utca 21."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",11466040,"Magyarországi Református Egyház Dunamelléki Egyházkerület","egyházi jogi személy","Ráday utca 28."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",38123454,"Miasszonyunkról Nevezett Kalocsai Iskolanővérek Társulata","egyházi jogi személy","Mária utca 20."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39000590,"Misszióstársaság (Lazaristák)","egyházi jogi személy","Ménesi utca 26."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39000122,"Pesti Evangélikus Egyház Deák Téri Egyházközség","egyházi jogi személy","Deák Ferenc tér 4"
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",12247040,"Piarista Rend Magyar Tartománya","egyházi jogi személy","Piarista köz 1."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39011797,"Rákoscsabai Baptista Gyülekezet","egyházi jogi személy","Zrínyi utca 38."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39011325,"Rózsakerti Baptista Közösség","egyházi jogi személy","Dézsmaház utca 33."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",10875040,"Segítő Szűz Mária Leányai Don Bosco Nővérek","egyházi jogi személy","Templom köz 1."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",39012020,"Szalézi Intézmény Fenntartó","egyházi jogi személy","Bécsi út út 173."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",10878040,"Szeretet Leányai Társulata","egyházi jogi személy","Ménesi utca 27."
"Budapest","nem_hatranyos _besorolasu","Budapest","Budapest","Közép-magyarország",12368040,"Szociális Missziótársulat","egyházi jogi személy","Krisztina körút 61/a"
"Békés","LHH","Békési","Békés","Dél-Alföld",10024040,"Református Egyházközség","egyházi jogi személy","Széchenyi tér 21."
"Békés","LHH","Békési","Békés","Dél-Alföld",39011529,"Reményhír Intézményfenntartó Központ","egyházi jogi személy","Verseny utca 7."
"Cegléd","nem_hatranyos _besorolasu","Ceglédi","Pest","Közép-magyarország",39012141,"Cegléd ‐ Nagytemplomi Református Egyházközség","egyházi jogi személy","Iskola utca 1."
"Celldömölk","nem_hatranyos _besorolasu","Celldömölki","Vas","Nyugat-Dunántúl",31800074,"Celldömölki Evangélikus Egyházközség","egyházi jogi személy","Ostffy M. tér 4."
"Csajág","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",39010536,"Csajági Református Egyházközség","egyházi jogi személy","Szabadság utca 22"
"Csopak","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",39011537,"Csopak-Paloznak Református Társegyházközség","egyházi jogi személy","Paloznaki utca 2."
"Csorna","nem_hatranyos _besorolasu","Csornai","Győr-Moson-Sopron","Nyugat-Dunántúl",12268040,"Csornai Premontrei Prépostság","egyházi jogi személy","Soproni út 65"
"Csákvár","nem_hatranyos _besorolasu","Bicskei","Fejér","Közép-Dunántúl",38700500,"Csákvári Református Egyházközség","egyházi jogi személy","Kálvin utca 9."
"Dad","nem_hatranyos _besorolasu","Oroszlányi","Komárom-Esztergom","Közép-Dunántúl",39011541,"Dadi Református Egyházközség","egyházi jogi személy","Fő utca 28."
"Debrecen","nem_hatranyos _besorolasu","Debreceni","Hajdú-Bihar","Észak-Alföld",39011766,"Debrecen-Bánki Református Egyházközség","egyházi jogi személy","Kerekes Ferenc utca 18."
"Debrecen","nem_hatranyos _besorolasu","Debreceni","Hajdú-Bihar","Észak-Alföld",39011952,"Debreceni Baptista Gyülekezet","egyházi jogi személy","Szappanos utca 23."
"Debrecen","nem_hatranyos _besorolasu","Debreceni","Hajdú-Bihar","Észak-Alföld",10461040,"Debrecen-Nyíregyházi Egyházmegye","egyházi jogi személy","Varga utca 4"
"Debrecen","nem_hatranyos _besorolasu","Debreceni","Hajdú-Bihar","Észak-Alföld",11207040,"Hajdúdorogi Metropolitai Egyház","egyházi jogi személy","Petőfi tér 8"
"Debrecen","nem_hatranyos _besorolasu","Debreceni","Hajdú-Bihar","Észak-Alföld",30900049,"Nagytemplomi Református Egyházközség","egyházi jogi személy","Piac utca 4-6."
"Debrecen","nem_hatranyos _besorolasu","Debreceni","Hajdú-Bihar","Észak-Alföld",11178040,"Tiszántúli Református Egyházkerület","egyházi jogi személy","Kálvin tér 17."
"Dombrád","HH","Kisvárdai","Szabolcs-Szatmár-Bereg","Észak-Alföld",11722040,"Dombrádi Református Egyházközség","egyházi jogi személy","Kossuth utca 25."
"Dunaszentgyörgy","nem_hatranyos _besorolasu","Paksi","Tolna","Dél-Dunántúl",39011178,"Tolnai Református Egyházmegye","egyházi jogi személy","Rákóczi utca 117."
"Dunavecse","HH","Kunszentmiklósi","Bács-Kiskun","Dél-Alföld",39010513,"Dunavecsei Református Egyházközség","egyházi jogi személy","Zrínyi utca 8."
"Eger","nem_hatranyos _besorolasu","Egri","Heves","Észak-Magyarország",10421040,"Egri Főegyházmegye","egyházi jogi személy","Széchenyi utca 1."
"Enying","HH","Enyingi","Fejér","Közép-Dunántúl",11741040,"Enyingi Református Egyházközség","egyházi jogi személy","Kossuth Lajos utca 48."
"Erdőhorváti","LHHK","Sárospataki","Borsod-Abaúj-Zemplén","Észak-Magyarország",39012112,"Erdőhorváti Református Egyházközség","egyházi jogi személy","Egres utca 24."
"Esztergom","nem_hatranyos _besorolasu","Esztergomi","Komárom-Esztergom","Közép-Dunántúl",39000901,"Szent Vincéről nevezett Szatmári Irgalmas Nővérek Társulata","egyházi jogi személy","Pázmány Péter utca 18"
"Fehérgyarmat","LHHK","Fehérgyarmati","Szabolcs-Szatmár-Bereg","Észak-Alföld",39011409,"Fehérgyarmati Református Egyházközség","egyházi jogi személy","Kossuth tér 29."
"Fót","nem_hatranyos _besorolasu","Dunakeszi","Pest","Közép-magyarország",12002040,"Fót-Központi Református Egyházközség","egyházi jogi személy","Károlyi I. utca 1."
"Gomba","nem_hatranyos _besorolasu","Monori","Pest","Közép-magyarország",39010394,"Gombai Református Egyházközség","egyházi jogi személy","Kossuth tér 1."
"Gyula","nem_hatranyos _besorolasu","Gyulai","Békés","Dél-Alföld",11234040,"Gyulai Református Egyházközség","egyházi jogi személy","Petőfi tér 4."
"Győr","nem_hatranyos _besorolasu","Győri","Győr-Moson-Sopron","Nyugat-Dunántúl",39010448,"A Szent Orsolya Rend Római Uniójának Magyar Orsolyita Közössége","egyházi jogi személy","Apáca utca 41."
"Győr","nem_hatranyos _besorolasu","Győri","Győr-Moson-Sopron","Nyugat-Dunántúl",10862040,"Győri Egyházmegyei Hatóság","egyházi jogi személy",""
"Győr","nem_hatranyos _besorolasu","Győri","Győr-Moson-Sopron","Nyugat-Dunántúl",10212000,"Győri Evangélikus Egyházközség","egyházi jogi személy","Petőfi tér 2."
"Győr","nem_hatranyos _besorolasu","Győri","Győr-Moson-Sopron","Nyugat-Dunántúl",39011601,"Szent Mór Bencés Perjelség","egyházi jogi személy","Széchenyi tér 9."
"Gárdony","nem_hatranyos _besorolasu","Gárdonyi","Fejér","Közép-Dunántúl",39012029,"Gárdonyi Református Egyházközség","egyházi jogi személy","Bóné Kálmán utca 8."
"Gödöllő","nem_hatranyos _besorolasu","Gödöllői","Pest","Közép-magyarország",10574040,"Gödöllői Premontrei Perjelség","egyházi jogi személy","Fácán sor 3."
"Gödöllő","nem_hatranyos _besorolasu","Gödöllői","Pest","Közép-magyarország",10626040,"Gödöllői Református Egyházközség","egyházi jogi személy","Szabadság tér 9"
"Göncruszka","LHHK","Abaúj-Hegyközi","Borsod-Abaúj-Zemplén","Észak-Magyarország",39011606,"Göncruszkai Református Egyházközség","egyházi jogi személy","Szabadság út 5"
"Hajdúböszörmény","HH","Hajdúböszörményi","Hajdú-Bihar","Észak-Alföld",30900248,"Bocskai téri Református Egyházközség","egyházi jogi személy","Újvárosi út 1."
"Hajdúböszörmény","HH","Hajdúböszörményi","Hajdú-Bihar","Észak-Alföld",39010696,"Hajdúböszörmény Kálvin Téri Református Egyházközség","egyházi jogi személy","Kálvin tér 19."
"Hajdúhadház","LHH","Hajdúhadházi","Hajdú-Bihar","Észak-Alföld",39011092,"Hajdúhadházi Református Egyházközség","egyházi jogi személy","Béke utca 2/a"
"Hajdúnánás","HH","Hajdúböszörményi","Hajdú-Bihar","Észak-Alföld",30900171,"Hajdúnánási Református Egyházközség","egyházi jogi személy","Kossuth utca 2."
"Halásztelek","nem_hatranyos _besorolasu","Ráckevei","Pest","Közép-magyarország",10752040,"Halásztelki Református Egyházközség","egyházi jogi személy","Kisgyár utca 16."
"Hódmezővásárhely","HH","Hódmezővásárhelyi","Csongrád","Dél-Alföld",39010850,"Hódmezővásárhelyi Evangélikus Egyházközség","egyházi jogi személy","Márton utca 1."
"Hódmezővásárhely","HH","Hódmezővásárhelyi","Csongrád","Dél-Alföld",39000714,"Hódmezővásárhelyi Újtemplomi Református Egyházközség","egyházi jogi személy","Kálvin tér 5."
"Hódmezővásárhely","HH","Hódmezővásárhelyi","Csongrád","Dél-Alföld",39011363,"Hódmezővásárhely-Ótemplomi Református Egyházközség","egyházi jogi személy","Zrínyi utca 5."
"Jászberény","HH","Jászberényi","Jász-Nagykun-Szolnok","Észak-Alföld",10273040,"Jászberényi Református Egyházközség","egyházi jogi személy","Thököly utca 15."
"Kalocsa","HH","Kalocsai","Bács-Kiskun","Dél-Alföld",10588040,"Kalocsa-Kecskeméti Főegyházmegye","egyházi jogi személy","Szentháromság tér 1."
"Kaposvár","HH","Kaposvári","Somogy","Dél-Dunántúl",12013040,"Kaposvári Egyházmegye","egyházi jogi személy","Zárda utca 4."
"Kaposvár","HH","Kaposvári","Somogy","Dél-Dunántúl",12541040,"Kaposvári Református Egyház","egyházi jogi személy","Kossuth L. utca 23."
"Karcag","HH","Karcagi","Jász-Nagykun-Szolnok","Észak-Alföld",10059040,"Karcagi Református Egyházközség","egyházi jogi személy","Kálvin utca 3."
"Karcag","HH","Karcagi","Jász-Nagykun-Szolnok","Észak-Alföld",11243040,"Mária Iskolatestvérek","egyházi jogi személy","Zádor út 3."
"Kecskemét","nem_hatranyos _besorolasu","Kecskeméti","Bács-Kiskun","Dél-Alföld",11866040,"Kecskeméti Református Egyházközség","egyházi jogi személy","Szabadság tér 7."
"Kiskunhalas","HH","Kiskunhalasi","Bács-Kiskun","Dél-Alföld",10017040,"Kiskunhalasi Református Egyházközség","egyházi jogi személy","Hősök tere 2."
"Kisvárda","HH","Kisvárdai","Szabolcs-Szatmár-Bereg","Észak-Alföld",10554040,"Kisvárdai Református Egyházközség","egyházi jogi személy","Flórián tér 17."
"Kisújszállás","HH","Karcagi","Jász-Nagykun-Szolnok","Észak-Alföld",11388040,"Kisújszállási Református Egyházközség","egyházi jogi személy","Kálvin utca 1."
"Kocs","nem_hatranyos _besorolasu","Tatai","Komárom-Esztergom","Közép-Dunántúl",39011545,"Kocsi Református Egyházközség","egyházi jogi személy","Kis utca 14."
"Komádi","LHHK","Berettyóújfalui","Hajdú-Bihar","Észak-Alföld",39012103,"Komádi Református Egyházközség","egyházi jogi személy","Dózsa György utca 3"
"Kunhegyes","LHHK","Tiszafüredi","Jász-Nagykun-Szolnok","Észak-Alföld",39010528,"Kunhegyesi Református Egyházközség","egyházi jogi személy","Szabadság tér 13."
"Kunszentmiklós","HH","Kunszentmiklósi","Bács-Kiskun","Dél-Alföld",11785040,"Kunszentmiklósi Református Egyházközség","egyházi jogi személy","Kálvin tér 3."
"Kőszeg","nem_hatranyos _besorolasu","Kőszegi","Vas","Nyugat-Dunántúl",10122040,"Árpád-házi Szent Margitról nevezett Szent Domonkos Rendi Nővérek Apostoli Kongregációja","egyházi jogi személy","Bajcsy-Zsilinszky utca 16."
"Litér","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",39011525,"Litéri Református Egyházközség","egyházi jogi személy","Dózsa György utca 47."
