"jelentkezesi_hatarido","allas_megnevezese","kozzetevo","tipus","telepules","tipus","kisterseg","megye","regio","egyhazi_iskola"
"2017-11-27","Közösségi ház vezető","Kistelek Környéki Települések Többcélú Társulása","Közalkalmazott","Baks","LHHK","Kisteleki","Csongrád","Dél-Alföld",0
"2017-11-27","Közösségi ház munkatárs","Kistelek Környéki Települések Többcélú Társulása","Közalkalmazott","Baks","LHHK","Kisteleki","Csongrád","Dél-Alföld",0
"2017-11-30","angol-bármely szakos tanár","Balassagyarmati Tankerületi Központ","Közalkalmazott","Balassagyarmat","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"2017-11-30","gyógypedagógus","Balassagyarmati Tankerületi Központ","Közalkalmazott","Balassagyarmat","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"2017-12-02","kisgyermeknevelő","Nógrád Megyei Reménysugár Egyesített Szociális Intézmény","Közalkalmazott","Balassagyarmat","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"2017-12-05","Védőnő","Balassagyarmati Gazdasági Műszaki Ellátó Szervezet","Közalkalmazott","Balassagyarmat","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"2017-12-06","Gépkezelő, parkgondozó (2 fő)","Balassagyarmati Gazdasági Műszaki Ellátó Szervezet","Közalkalmazott","Balassagyarmat","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"2017-12-11","Intézményvezető","Balassagyarmat Város Önkormányzata","Közalkalmazott","Balassagyarmat","nem_hatranyos _besorolasu","Balassagyarmati","Nógrád","Észak-Magyarország",0
"2017-11-23","könyvtáros","Pannónia Kulturális Központ és Könyvtár Balatonalmádi","Közalkalmazott","Balatonalmádi","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",0
"2017-11-24","építéshatósági ügyintéző","Balatonalmádi Közös Önkormányzati Hivatal","Köztisztviselő","Balatonalmádi","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",0
"2017-11-27","iskolatitkár","Veszprémi Tankerületi Központ","Közalkalmazott","Balatonalmádi","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",0
"2017-12-08","gazdasági ügyintéző","MTA Üdülési Központ","Közalkalmazott","Balatonalmádi","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",0
"2017-12-29","logopédus","Veszprémi Tankerületi Központ","Közalkalmazott","Balatonalmádi","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",0
"2017-12-29","gyógypedagógus/szomatopedagógus","Veszprémi Tankerületi Központ","Közalkalmazott","Balatonalmádi","nem_hatranyos _besorolasu","Balatonalmádi","Veszprém","Közép-Dunántúl",0
"2017-12-12","óvodai dajka","Balatonendrédi Kerekerdő Óvoda","Közalkalmazott","Balatonendréd","nem_hatranyos _besorolasu","Siófoki","Somogy","Dél-Dunántúl",0
"2017-11-27","beruházási ügyintéző","Balatonfüredi Közös Önkormányzati Hivatal","Köztisztviselő","Balatonfüred","nem_hatranyos _besorolasu","Balatonfüredi","Veszprém","Közép-Dunántúl",1
