jelentkezesi_hatarido,allas_megnevezese,kozzetevo,munkavegzes_helye,tipus,jelentkezes_statusza,id,van_e_vesszo
2017-12-05,Óvodapedagógus,Ifjúság Utcai Óvoda - Debrecen,"Hajdú-Bihar megye
                             , Ifjúság Utcai Óvoda Szoboszlói Úti Tagintézménye",Közalkalmazott,,tdba7rhxi2,1
2017-12-05,lakatos,Szent Imre Kórház,"Budapest, Budapest",Közalkalmazott,,tdba7z17c0,1
2017-12-05,Angol szakos tanár,Közép-Budai Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdba5u1ci3,1
2017-12-05,talajvédelmi felügyelő,"Kecskeméti Járási Hivatal Élelmiszerlánc-biztonsági, Növény-és Talajvédelmi Főosztály Növény-és Talajvédelmi Osztály","Bács-Kiskun megye
                             , Kecskemét",Köztisztviselő,,tdba5pf5c1,1
2017-12-05,Matematika-bármely szakos tanár,Közép-Budai Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdba4wlnh9,1
2017-12-05,Tanító,Közép-Budai Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdba4oaxh4,1
2017-12-05,Angol-történelem szakos tanár,Közép-Budai Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdba3wkxd1,1
2017-12-05,gyógypedagógiai asszisztens,Szombathelyi Tankerületi Központ,"Vas megye
                             , Szombathely",Közalkalmazott,,tdba2wh3a3,1
2017-12-05,Német nyelv szakos tanár,Közép-Budai Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdba1wgch5,1
2017-12-05,német nemzetiségi óvodapedagógus,Cseperedő Óvoda -Budapest 18.ker.,"Budapest, Budapest",Közalkalmazott,,tdba1ih7h0,1
2017-12-05,1 fő gyógypedagógus,Dél-Budai Tankerületi Központ,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdba0qanc8,1
2017-12-05,egészségügyi asszisztens,Heim Pál Gyermekkórház,"Budapest, Budapest",Közalkalmazott,,tdbb9wsbb9,1
2017-12-05,Épületgépész tanár,"Békéscsabai Szakképzési Centrum Trefort Ágoston Szakgimnáziuma, Szakközépiskolája és Kollégiuma","Békés megye
                             , Békéscsaba",Közalkalmazott,,tdbb9ohvd3,1
2017-12-05,Gépész szakoktató,"Békéscsabai Szakképzési Centrum Trefort Ágoston Szakgimnáziuma, Szakközépiskolája és Kollégiuma","Békés megye
                             , Békéscsaba",Közalkalmazott,,tdbb8rgmc9,1
2017-12-05,testnevelés-bármely szakos tanár,Kisvárdai Tankerületi Központ,"Szabolcs-Szatmár-Bereg megye
                             , Tiszakanyár",Közalkalmazott,,tdbb7odbh7,1
2017-12-05,ápoló,Hajdúböszörményi Tankerületi Központ,"Hajdú-Bihar megye
                             , Hortobágy",Közalkalmazott,,tdbb6qkxb5,1
2017-12-05,GONDNOK,Magyar Nemzeti Múzeum,"Borsod-Abaúj-Zemplén megye
                             , Sárospatak",Közalkalmazott,,tdbb6w1bd4,1
2017-12-05,Földrajz szakos pedagógus,Kisvárdai Tankerületi Központ,"Szabolcs-Szatmár-Bereg megye
                             , Kemecse",Közalkalmazott,,tdbb6tgyh2,1
2017-12-05,Portás/Biztonsági őr,"Somogy Megyei Gyermekvédelmi Központ, Általános Iskola és Területi Gyermekvédelmi Szakszolgálat","Somogy megye
                             , Kaposvár",Közalkalmazott,,tdbb6osye9,1
2017-12-05,számviteli ügyintéző,Budapesti Operettszínház,"Budapest, Budapest",Közalkalmazott,,tdbb5zg5g3,1
2017-12-05,Szakács,Tordas Község Önkormányzat Polgármesteri Hivatal,"Fejér megye
                             , Tordas",Közalkalmazott,,tdbb4wjnh8,1
2017-12-05,rendszergazda,Szigetvári Tankerületi Központ,"Baranya megye
                             , Vajszló",Közalkalmazott,,tdbb3whxd0,1
2017-12-05,MATEMATIKA-BÁRMELY SZAKOS TANÁR,Szigetvári Tankerületi Központ,"Baranya megye
                             , Bogádmindszent",Közalkalmazott,,tdbb3r13i8,1
2017-12-05,általános iskolai tanító,Szigetvári Tankerületi Központ,"Baranya megye
                             , Bogádmindszent",Közalkalmazott,,tdbb3zdxa7,1
2017-12-05,ügyintéző,Eötvös Loránd Tudományegyetem,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdbb2wf3a2,1
2017-12-05,testnevelés-bármely szakos tanár,Kisvárdai Tankerületi Központ,"Szabolcs-Szatmár-Bereg megye
                             , Mándok",Közalkalmazott,,tdbb2ud5j8,1
2017-12-05,matematika-informatika tanár,Dél-Budai Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdbb2okmd6,1
2017-12-05,karbantartó,Dél-Budai Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdbb1wdch4,1
2017-12-05,pszichológus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdbb1rj5b2,1
2017-12-05,pszichológus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdbb0idbe1,1
2017-12-05,takarító,Mezőkövesdi Tankerületi Központ,"Borsod-Abaúj-Zemplén megye
                             , Tiszaújváros",Közalkalmazott,,tdbb0og3g0,1
2017-12-05,karbantartó,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdbc9rgyf6,1
2017-12-05,gyógytestnevelő,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Sárbogárd",Közalkalmazott,,tdbc9phmf1,1
2017-12-05,Munkaügyi főelőadó,Szent Kozma és Damján Rehabilitációs Szakkórház,"Pest megye
                             , Visegrád",Közalkalmazott,,tdbc8eava9,1
2017-12-05,gyógypedagógus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Sárbogárd",Közalkalmazott,,tdbc8rdmc8,1
2017-12-05,matematika szakos tanár,Monori Tankerületi Központ,"Pest megye
                             , Vecsés",Közalkalmazott,,tdbc7zh7d8,1
2017-12-05,gyógypedagógus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Dunaújváros",Közalkalmazott,,tdbc7ulxf7,1
2017-12-05,informatika szakos tanár,Monori Tankerületi Központ,"Pest megye
                             , Vecsés",Közalkalmazott,,tdbc7oabh6,1
2017-12-05,magyar nyelv és irodalom szakos tanár,Monori Tankerületi Központ,"Pest megye
                             , Vecsés",Közalkalmazott,,tdbc7pd3j5,1
2017-12-05,gyógypedagógus,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Székesfehérvár",Közalkalmazott,,tdbc6zgvj0,1
2017-12-05,Szakorvos,Szent Kozma és Damján Rehabilitációs Szakkórház,"Pest megye
                             , Visegrád",Közalkalmazott,,tdbc6psvg7,1
2017-12-05,gazdasági ügyintéző ,Magyar Nemzeti Levéltár,"Veszprém megye
                             , Veszprém",Közalkalmazott,,tdbc5zd5g2,1
2017-12-05,fizika-matematika szakos tanár,Monori Tankerületi Központ,"Pest megye
                             , Hernád",Közalkalmazott,,tdbc4ej7j6,1
2017-12-05,gyógytestnevelő,Székesfehérvári Tankerületi Központ,"Fejér megye
                             , Gárdony",Közalkalmazott,,tdbc4zsnd4,1
2017-12-05,fuvolatanár,Szombathelyi Tankerületi Központ,"Vas megye
                             , Körmend",Közalkalmazott,,tdbc4uf7f3,1
2017-12-05,általános iskolai tanító,Monori Tankerületi Központ,"Pest megye
                             , Pusztavacs",Közalkalmazott,,tdbc4olbj1,1
2017-12-05,testnevelés szakos tanár,Monori Tankerületi Központ,"Pest megye
                             , Hernád",Közalkalmazott,,tdbc3wfxe9,1
2017-12-05,kémia szakos tanár,Monori Tankerületi Központ,"Pest megye
                             , Hernád",Közalkalmazott,,tdbc3ig3e4,1
2017-12-05,Napközis nevelő/ tanító,Ceglédi Tankerületi Központ Nagykátai Iroda,"Pest megye
                             , Tápiószecső",Közalkalmazott,,tdbc2tlmh8,1
2017-12-05,Tanító,Ceglédi Tankerületi Központ Nagykátai Iroda,"Pest megye
                             , Tápiószecső",Közalkalmazott,,tdbc2pk5f4,1
2017-12-05,iskolapszichológus,Monori Tankerületi Központ,"Pest megye
                             , Dabas",Közalkalmazott,,tdbc1tkcd0,1
2017-12-05,Történelem-bármely szakos tanár vagy tanító-bármely műveltségterülettel,Mohácsi Tankerületi Központ,"Baranya megye
                             , Magyarbóly",Közalkalmazott,,tdbc1z1ng9,1
2017-12-05,Testnevelő tanár vagy tanító testnevelés műveltségi területen,Ceglédi Tankerületi Központ Nagykátai Iroda,"Pest megye
                             , Tápiószecső",Közalkalmazott,,tdbc1is7i8,1
2017-12-05,"Pénzügyi előadó, pályázati elszámoló",Budapesti Módszertani Szociális Központ és Intézményei,"Budapest, Budapest",Közalkalmazott,,tdbc0phyj8,1
2017-12-05,hivatalvezető-helyettes,Eötvös Loránd Tudományegyetem,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdbd4wdnh6,1
2017-12-05,"Pénzügyi előadó, szállítói számla és bankszámlakivonat elszámoló",Budapesti Módszertani Szociális Központ és Intézményei,"Budapest, Budapest",Közalkalmazott,,tdbd4ojbj0,1
2017-12-05,Gazdasági ügyintéző,Közép-Budai Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdbd3efbg7,1
2017-12-05,Pénztáros,Budapesti Módszertani Szociális Központ és Intézményei,"Budapest, Budapest",Közalkalmazott,,tdbd1rd5b0,1
2017-12-05,Kommunális ügyintéző,Budapest Főváros XV. kerületi Polgármesteri Hivatal,"Budapest, Budapest",Köztisztviselő,,tdbd0tf7a1,1
2017-12-05,Szakasszisztens (műtéti),Semmelweis Egyetem,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdbe9rayf4,1
2017-12-05,Szakápoló (epidemiológiai),Semmelweis Egyetem,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdbe9zgmj2,1
2017-12-05,Közegészségügyi felügyelő,Semmelweis Egyetem,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdbe9ukyb1,1
2017-12-05,Beruházási ügyintéző,Budapest Főváros XV. kerületi Polgármesteri Hivatal,"Budapest, Budapest",Köztisztviselő,,tdbe9psmg9,1
2017-12-05,Beruházási ügyintéző,Budapest Főváros XV. kerületi Polgármesteri Hivatal,"Budapest, Budapest",Köztisztviselő,,tdbe8qf5i8,1
2017-12-05,szakács,Mosdósi Mackóvár Óvoda,"Somogy megye
                             , Mosdós",Közalkalmazott,,tdbe8pacc1,1
2017-12-06,orvos igazgató /főigazgató helyettes,Országos Reumatológiai és Fizioterápiás Intézet,"Pest megye
                             , Budapest",Közalkalmazott,,tdyj9okmj0,1
2017-12-06,Intézményvezető,Aba Város Önkormányzata,"Fejér megye
                             , Aba",Közalkalmazott,,tdxb1pj7i2,1
2017-12-06,gazdasági ügyintéző,Budapest Főváros VII. kerület Erzsébetváros Önkormányzat Bischitz Johanna Integrált Humán Szolgáltató Központ,"Budapest, Budapest",Közalkalmazott,,tdxc7ujnb2,1
2017-12-06,energetikai referens,Nemzeti Fejlesztési Minisztérium,"Nem_megadott , Nem_megadott",Köztisztviselő,,tdxd7qd5b6,1
2017-12-06,adóügyi ügyintéző,Budajenői Közös Önkormányzati Hivatal,"Pest megye
                             , Tök",Köztisztviselő,,tdxd7whcd5,1
2017-12-06,pénzügyi ügyintéző,Budajenői Közös Önkormányzati Hivatal,"Pest megye
                             , Budajenő",Köztisztviselő,,tdxd5egmj8,1
2017-12-06,óvodapedagógus,Somogyvári Tündérkert Óvoda,"Somogy megye
                             , Somogyvár",Közalkalmazott,,tdxd1rsci5,1
2017-12-06,informatikai referens,"Nemzeti Kutatási, Fejlesztési és Innovációs Hivatal","Budapest, Budapest",Köztisztviselő,,tdxd0psbf2,1
2017-12-06,esetmenedzser/tanácsadó,Tabi Családsegítő és Gyermekjóléti Központ,"Somogy megye
                             , Tab",Közalkalmazott,,tdxe1ujce1,1
2017-12-06,Szakmai elméleti tanár (informatika ágazat),Kecskeméti Szakképzési Centrum,"Bács-Kiskun megye
                             , Kunszentmiklós",Közalkalmazott,,tdxf2wjvj2,1
2017-12-06,Kémia-biológia szakos tanár,Kecskeméti Szakképzési Centrum,"Bács-Kiskun megye
                             , Kunszentmiklós",Közalkalmazott,,tdxf2el3b1,1
2017-12-06,Angol szakos nyelvtanár,Kecskeméti Szakképzési Centrum,"Bács-Kiskun megye
                             , Kunszentmiklós",Közalkalmazott,,tdxf2tsyd0,1
2017-12-06,Magyar nyelv és irodalom - német szakos tanár,Kecskeméti Szakképzési Centrum,"Bács-Kiskun megye
                             , Kunszentmiklós",Közalkalmazott,,tdxf2zfvg9,1
2017-12-06,"könyvtáros, informatikus könyvtáros",Szent István Egyetem,"Pest megye
                             , Gödöllő",Közalkalmazott,,tdxg8ed5j9,1
2017-12-06,Cukrász szakoktató,Budapesti Vendéglátóipari és Humán Szakképzési Centrum,"Budapest, Budapest",Közalkalmazott,,tdxg0tlbj2,1
2017-12-06,igazgató,Kerekegyháza Város Önkormányzata,"Bács-Kiskun megye
                             , Kerekegyháza",Közalkalmazott,,tdxh1wa5g2,1
2017-12-06,kollégiumi nevelőtanár,Közép-Pesti  Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdcf3ogyi3,1
2017-12-06,gyógypedagógiai asszisztens,Közép-Pesti  Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdcf1rs5d1,1
2017-12-06,2 fő óvodapedagógus,Ferencvárosi Epres Óvoda,"Budapest, Budapest",Közalkalmazott,,tdci8uama2,1
2017-12-06,óvodapedagógus,Ferencvárosi Epres Óvoda,"Budapest, Budapest",Közalkalmazott,,tdci8id5c1,1
2017-12-06,gyógytornász,Budapest Főváros VII. kerület Erzsébetváros Önkormányzat Bischitz Johanna Integrált Humán Szolgáltató Központ,"Budapest, Budapest",Közalkalmazott,,tdcj6qjbg9,1
2017-12-06,Dajka,Törökvész úti Kézműves Óvoda,"Budapest, Budapest",Közalkalmazott,,tdcj1rjcg6,1
2017-12-06,gondnok,Budapesti Komplex Szakképzési Centrum,"Budapest, Budapest",Közalkalmazott,,tdva5zdvb6,1
2017-12-06,általános karbantartó,Budapesti Komplex Szakképzési Centrum,"Budapest, Budapest",Közalkalmazott,,tdva4za7i8,1
2017-12-06,műszaki vezető,Budapesti Komplex Szakképzési Centrum,"Budapest, Budapest",Közalkalmazott,,tdva3eg7a2,1
2017-12-06,gyógypedagógiai tanár,Budapesti Komplex Szakképzési Centrum,"Budapest, Budapest",Közalkalmazott,,tdva3ojbb7,1
2017-12-06,urológus szakorvos,Országos Sportegészségügyi Intézet,"Budapest, Budapest",Közalkalmazott,,tdva0eanb8,1
2017-12-06,pszichológus,Pest Megyei Gyermekvédelmi Központ és Területi Gyermekvédelmi Szakszolgálat,"Pest megye
                             , Cegléd",Közalkalmazott,,tdvb8wkme2,1
2017-12-06,Villamosipari szakoktató,Pápai Szakképzési Centrum Faller Jenő Szakképző Iskolája és Kollégiuma,"Veszprém megye
                             , Várpalota",Közalkalmazott,,tdvb7qf7j5,1
2017-12-06,"Tanító-informatika, matematika, angol műveltségi terület",Közép-Pesti  Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdvb7wjcb4,1
2017-12-06,főépítész,Keszthelyi Polgármesteri Hivatal,"Zala megye
                             , Keszthely",Köztisztviselő,,tdvc6ehxa4,1
2017-12-06,pályázati (műszaki) referens,Keszthelyi Polgármesteri Hivatal,"Zala megye
                             , Keszthely",Köztisztviselő,,tdvc3pg3d4,1
2017-12-06,Óvodapedagógus,Szentlőrinci Kistérségi Óvoda és Bölcsőde,"Baranya megye
                             , Bükkösd",Közalkalmazott,,tdvd6wa3i4,1
2017-12-06,ÓVODAPEDAGÓGUS,Csanádpalota Térségi Napsugár Óvoda és Bölcsőde Többcélú Közös Igazgatású Köznevelési Intézmény,"Csongrád megye
                             , Csanádpalota",Közalkalmazott,,tdve8ua5d5,1
2017-12-06,iskolai védőnő,Rákosmenti Védőnői Szolgálat,"Budapest, Budapest",Közalkalmazott,,tdve2ij5i5,1
2017-12-06,kémia - bármely szakos tanár,Győri Tankerületi Központ,"Győr-Moson-Sopron megye
                             , Rábapatona",Közalkalmazott,,tdve2o1va4,1
2017-12-06,óvodapedagógus,Tápiószecsői Pöttöm Óvoda,"Pest megye
                             , Tápiószecső",Közalkalmazott,,tdvf7thxi7,1
2017-12-06,Testnevelő tanár,Veszprémi Szakképzési Centrum,"Veszprém megye
                             , Balatonfűzfő",Közalkalmazott,,tdvf7odxe4,1
2017-12-06,bölcsödevezető,Kaposvári Humánszolgáltatási Gondnokság,"Somogy megye
                             , Kaposvár",Közalkalmazott,,tdvf2zave6,1
2017-12-06,Iskolatitkár,Budapesti Vendéglátóipari és Humán Szakképzési Centrum,"Budapest, Budapest",Közalkalmazott,,tdvg9q1yi5,1
2017-12-06,Angol-bármely szakos tanár,Mátészalkai Tankerületi Központ,"Szabolcs-Szatmár-Bereg megye
                             , Encsencs",Közalkalmazott,,tdvg5tavb0,1
2017-12-06,Magyar nyelv és irodalom-történelem vagy angol szakos tanár,Mátészalkai Tankerületi Központ,"Szabolcs-Szatmár-Bereg megye
                             , Penészlek",Közalkalmazott,,tdvg2uamg4,1
2017-12-06,Vegyésztechnikus,Pécsi Tudományegyetem,"Baranya megye
                             , Pécs",Közalkalmazott,,tdvg1pjxj3,1
2017-12-06,angol szakos tanár,Budapesti Vendéglátóipari és Humán Szakképzési Centrum,"Budapest, Budapest",Közalkalmazott,,tdvg0rfxf0,1
2017-12-06,Laboráns,Pécsi Tudományegyetem,"Baranya megye
                             , 7624",Közalkalmazott,,tdvg0zk7a8,1
2017-12-06,matematika-informatika vagy matematika-fizika vagy matematika-kémia szakos általános iskolai tanár,Mátészalkai Tankerületi Központ,"Szabolcs-Szatmár-Bereg megye
                             , Encsencs",Közalkalmazott,,tdvh5rlvc9,1
2017-12-06,1 fő szociális gondozó Házi segítségnyújtásban,Budapest Főváros XV. kerületi Önkormányzat Egyesített Szociális Intézmény,"Budapest, Budapest",Közalkalmazott,,tdvh4usnd9,1
2017-12-06,mezőőr,Jászkarajenő Község Önkormányzata,"Pest megye
                             , Jászkarajenő közigazgatási területe",Közalkalmazott,,tdvh0oabe5,1
2017-12-06,óvodapedagógus,Balatonszabadi Kincskereső Általános Művelődési Központ,"Somogy megye
                             , Balatonszabadi",Közalkalmazott,,tdvi5tlme7,1
2017-12-06,takarító,Sárospatak Város  Rendelőintézete,"Borsod-Abaúj-Zemplén megye
                             , Sárospatak",Közalkalmazott,,tdvi3esxd3,1
2017-12-06,nőgyógyász szakorvos,Országos Sportegészségügyi Intézet,"Budapest, Budapest",Közalkalmazott,,tdvi3zlyj0,1
2017-12-06,Nevelő,"Veszprém Megyei Gyermekvédelmi Központ, Általános Iskola, Szakiskola, Készségfejlesztő Iskola és Területi Gyermekvédelmi Szakszolgálat","Veszprém megye
                             , Veszprém-Gyulafirátót",Közalkalmazott,,tdvj9zdvh8,1
2017-12-06,"gyógypedagógus, korai fejlesztés szakterületen",Belső-Pesti Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdvj7pl3j8,1
2017-12-06,rezidens,Petz Aladár Megyei Oktató Kórház,"Győr-Moson-Sopron megye
                             , Győr",Közalkalmazott,,tdvj6id3b2,1
2017-12-06,iskolapszichológus,Belső-Pesti Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdvj3rsbf1,1
2017-12-06,"Gépkezelő, parkgondozó (2 fő)",Balassagyarmati Gazdasági Műszaki Ellátó Szervezet,"Nógrád megye
                             , Balassagyarmat",Közalkalmazott,,tdvj3zjxa9,1
2017-12-06,Tanító,Közép-Pesti  Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdvj3ulbc8,0
2017-12-06,műtős szakasszisztens,Országos Sportegészségügyi Intézet,"Budapest, Budapest",Közalkalmazott,,tdvj2tdve2,1
2017-12-06,pénzügyi-számviteli ,Királyegyházai Közös Önkormányzati Hivatal,"Baranya megye
                             , Királyegyháza",Köztisztviselő,,tdvj1qf5f7,1
2017-12-06,ápoló,Országos Sportegészségügyi Intézet,"Budapest, Budapest",Közalkalmazott,,tdvj1ik7h1,1
2017-12-06,ápoló,Országos Sportegészségügyi Intézet,"Budapest, Budapest",Közalkalmazott,,tdvj0r1bi6,1
2017-12-06,műtőssegéd,Országos Sportegészségügyi Intézet,"Budapest, Budapest",Közalkalmazott,,tdba9qsyi1,1
2017-12-06,Testnevelő - bármely szakos tanár,Közép-Pesti  Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdba7wane4,0
2017-12-06,iskolaorvos,Debreceni Egyetem,"Hajdú-Bihar megye
                             , Debrecen",Közalkalmazott,,tdba1ufnf1,1
2017-12-06,Igazgatási ügyintéző,Keszüi Közös Önkormányzati Hivatal,"Baranya megye
                             , Keszü",Köztisztviselő,,tdba1olca9,1
2017-12-06,Földrajz/testnevelés szakos tanár,Miskolci Tankerületi Központ,"Borsod-Abaúj-Zemplén megye
                             , Miskolc",Közalkalmazott,,tdbb5qhmi7,1
2017-12-06,tanársegéd ,Budapesti Műszaki és Gazdaságtudományi Egyetem,"Budapest, Budapest",Közalkalmazott,,tdbb1egnj3,1
2017-12-06,tudományos segédmunkatárs,Budapesti Műszaki és Gazdaságtudományi Egyetem,"Budapest, Budapest",Közalkalmazott,,tdbb0rhbi4,1
2017-12-06,Pénzügyi ügyintéző,Belváros-Lipótváros Budapest Főváros V. kerület Önkormányzat Polgármesteri Hivatal,"Budapest, Budapest",Köztisztviselő,,tdbb0tk7a3,1
2017-12-06,tanító/német vagy angol szakos pedagógus,Belső-Pesti Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdbc9tjvh5,1
2017-12-06,fagott-furulya tanár,Észak-Budapesti Tankerületi Központ,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdbc7rsxi0,1
2017-12-06,Pszichológus,Ceglédi Tankerületi Központ Pest Megyei Pedagógiai Szakszolgálat Gödöllői Tagintézménye,"Pest megye
                             , Veresegyház",Közalkalmazott,,tdbc4qdcf8,1
2017-12-06,Karbantartó,Kadarkút Város Önkormányzatának Polgármestere,"Somogy megye
                             , Kadarkút",Közalkalmazott,,tdbc2ws3a1,1
2017-12-06,óvodapedagógus,Körösmenti Óvoda,"Hajdú-Bihar megye
                             , Mezőpeterd",Közalkalmazott,,tdbc2egyc0,1
2017-12-06,pedagógiai asszisztens,Belső-Pesti Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdbc2rjvf9,1
2017-12-06,ápoló,Szombathelyi Tankerületi Központ,"Vas megye
                             , Rum",Közalkalmazott,,tdbc2ifvb6,1
2017-12-06,tudományos segédmunkatárs ,Budapesti Műszaki és Gazdaságtudományi Egyetem,"Budapest, Budapest",Közalkalmazott,,tdbc1ogca7,1
2017-12-06,"szakoktató, gyakorlati oktató",Debreceni Szakképzési Centrum,"Hajdú-Bihar megye
                             , Debrecen",Közalkalmazott,,tdbc0esxg4,1
2017-12-06,Kollégiumi nevelőtanár,Szombathelyi Műszaki Szakképzési Centrum,"Vas megye
                             , Csepreg",Közalkalmazott,,tdbc0rfbi3,1
2017-12-06,Gyógypedagógus,Közép-Pesti  Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdbd9zjmj3,1
2017-12-06,4 fő gondozó,Fejér Megyei  Integrált Szociális Intézménye,"Fejér megye
                             , Polgárdi- Ipartelep",Közalkalmazott,,tdbd8wlva8,1
2017-12-06,tanársegéd,Debreceni Egyetem,"Hajdú-Bihar megye
                             , Debrecen",Közalkalmazott,,tdbd8td5e6,1
2017-12-06,humánpolitikai referens,"Jogi, Humánpolitikai és Koordinációs Főosztály","Bács-Kiskun megye
                             , Kecskemét",Köztisztviselő,,tdbd4qacf7,1
2017-12-06,kézbesítő-karbantartó,Észak-Budapesti Tankerületi Központ,"Nem_megadott , Nem_megadott",Közalkalmazott,,tdbd2isvb5,1
2017-12-06,titkársági referens,Nemzeti Fejlesztési Minisztérium,"Budapest, Budapest",Köztisztviselő,,tdbd1eanj1,1
2017-12-06,bölcsödevezető,Kaposvári Humánszolgáltatási Gondnokság,"Somogy megye
                             , Kaposvár",Közalkalmazott,,tdbd1pgnc5,1
2017-12-06,bölcsödevezető,Kaposvári Humánszolgáltatási Gondnokság,"Somogy megye
                             , Kaposvár",Közalkalmazott,,tdbd0oa3h8,1
2017-12-06,műszaki vezető,"FM Közép-Magyarországi Agrár-szakképző Központ, Bercsényi Miklós Élelmiszeripari Szakgimnázium, Szakközépiskola és Kollégium","Budapest, Budapest",Közalkalmazott,,tdbe8zfcg4,1
2017-12-06,Könyvelő,Fővárosi Önkormányzat Idősek Otthona Bp. XI. ker.,"Budapest, Budapest",Közalkalmazott,,tdbe8ik5a2,1
2017-12-06,kertészeti referens,Nemzeti Örökség Intézete,"Budapest, Budapest",Közalkalmazott,,tdbe6zaba8,1
2017-12-06,matematika-fizika szakos középiskolai tanár,Debreceni Szakképzési Centrum,"Hajdú-Bihar megye
                             , Debrecen",Közalkalmazott,,tdbe6p1mi4,1
2017-12-06,Mérnöktanár,Kaposvári Szakképzési Centrum,"Somogy megye
                             , Nagyatád",Közalkalmazott,,tdbe5wdya3,1
2017-12-06,gyógypedagógus,Belső-Pesti Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdbe5egvc2,1
2017-12-06,Gépész gyakorlati oktató,Kaposvári Szakképzési Centrum,"Somogy megye
                             , Nagyatád",Közalkalmazott,,tdbe5tl5g0,1
2017-12-06,pszichológus,Belső-Pesti Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdbe5uscj9,1
2017-12-06,napközis tanító,Dunaújvárosi Tankerületi Központ,"Fejér megye
                             , Ráckeresztúr",Közalkalmazott,,tdbe5oh5d7,1
2017-12-06,Matematika - bármely szakos középiskolai tanár,Kaposvári Szakképzési Centrum,"Somogy megye
                             , Kaposvár",Közalkalmazott,,tdbe4wanh5,1
2017-12-06,Magyar nyelv- és irodalom - német szakos középiskolai tanár,Kaposvári Szakképzési Centrum,"Somogy megye
                             , Kaposvár",Közalkalmazott,,tdbe4tknd2,1
2017-12-06,takarító,Belső-Pesti Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdbe4idxh0,1
2017-12-06,gyógypedagógiai asszisztens,Belső-Pesti Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdbe3esbg6,1
2017-12-06,Matematika-informatika vagy matematika-bármely szakos középiskolai tanár,Kaposvári Szakképzési Centrum,"Somogy megye
                             , Nagyatád",Közalkalmazott,,tdbe3rf3i5,1
2017-12-06,jogász (ügyvivő szakértő),Színház- és Filmművészeti Egyetem,"Budapest, Budapest",Közalkalmazott,,tdbe3ia3e2,1
2017-12-06,takarító,Belső-Pesti Tankerületi Központ,"Budapest, Budapest",Közalkalmazott,,tdbe3ofyg1,1
2017-12-06,Gépészmérnök középiskolai tanár,Kaposvári Szakképzési Centrum,"Somogy megye
                             , Nagyatád",Közalkalmazott,,tdbe2tgmh6,1
2017-12-06,egyetemi adjunktus,Budapesti Műszaki és Gazdaságtudományi Egyetem,"Budapest, Budapest",Közalkalmazott,,tdbe2u1vb4,1
2017-12-06,Faipari mérnöktanár,Kaposvári Szakképzési Centrum,"Somogy megye
                             , Kaposvár",Közalkalmazott,,tdbe1zhng7,1
2017-12-06,Matematika szakos középiskolai tanár,Kaposvári Szakképzési Centrum,"Somogy megye
                             , Kaposvár",Közalkalmazott,,tdbe1uk7i6,1
2017-12-06,kockázatértékelési referens,Emberi Erőforrások Minisztériuma,"Nem_megadott , Nem_megadott",Köztisztviselő,,tdbe1pdnc4,1
2017-12-06,Mérnöktanár (közlekedési szakterület),Kaposvári Szakképzési Centrum,"Somogy megye
                             , Kaposvár",Közalkalmazott,,tdbe0psyj6,1
